iter	Passed	Remaining
650	1874	1004
651	1876	1001
652	1878	998
653	1880	994
654	1882	991
655	1884	988
656	1889	986
657	1891	983
658	1894	980
659	1899	978
660	1901	975
661	1906	973
662	1908	970
663	1910	966
664	1914	964
665	1916	961
666	1924	960
667	1926	957
668	1928	954
669	1938	954
670	1940	951
671	1945	949
672	1950	947
673	1952	944
674	1954	941
675	1956	937
676	1959	934
677	1966	933
678	1968	930
679	1970	927
680	1973	924
681	1979	922
682	1981	919
683	1984	916
684	1986	913
685	1988	910
686	1990	907
687	1995	904
688	1997	901
689	1999	898
690	2002	895
691	2004	892
692	2010	890
693	2012	887
694	2014	884
695	2016	880
696	2020	878
697	2025	876
698	2027	873
699	2029	869
700	2031	866
701	2034	863
702	2040	861
703	2043	859
704	2045	856
705	2048	853
706	2050	849
707	2053	846
708	2055	843
709	2057	840
710	2060	837
711	2064	835
712	2066	831
713	2069	828
714	2072	826
715	2074	822
716	2079	820
717	2082	817
718	2084	814
719	2087	811
720	2089	808
721	2095	806
722	2097	803
723	2099	800
724	2101	797
725	2103	794
726	2109	791
727	2111	788
728	2113	785
729	2115	782
730	2117	779
731	2119	776
732	2125	774
733	2130	771
734	2133	769
735	2138	767
736	2141	764
737	2144	761
738	2146	757
739	2148	754
740	2150	751
741	2155	749
742	2157	746
743	2159	743
744	2161	739
745	2163	736
746	2170	735
747	2173	732
748	2175	729
749	2178	726
750	2180	722
751	2185	720
752	2187	717
753	2190	714
754	2192	711
755	2195	708
756	2197	705
757	2200	702
758	2202	699
759	2204	696
760	2206	693
761	2209	689
762	2211	686
763	2213	683
764	2215	680
765	2217	677
766	2222	675
767	2224	671
768	2226	668
769	2229	665
770	2231	662
771	2236	660
772	2238	657
773	2240	654
774	2243	651
775	2245	648
776	2253	646
777	2257	644
778	2260	641
779	2266	639
780	2269	636
781	2271	633
782	2273	630
783	2276	627
784	2280	624
785	2282	621
786	2284	618
787	2287	615
788	2289	612
789	2294	610
790	2297	606
791	2300	604
792	2304	601
793	2314	600
794	2316	597
795	2319	594
796	2321	591
797	2327	589
798	2329	586
799	2332	583
800	2335	580
801	2339	577
802	2342	574
803	2345	571
804	2347	568
805	2349	565
806	2354	563
807	2356	560
808	2358	556
809	2360	553
810	2363	550
811	2365	547
812	2371	545
813	2373	542
814	2376	539
815	2378	536
816	2380	533
817	2386	530
818	2388	527
819	2391	524
820	2393	521
821	2395	518
822	2399	516
823	2402	513
824	2404	510
825	2407	507
826	2413	504
827	2415	501
828	2418	498
829	2420	495
830	2422	492
831	2424	489
832	2427	486
833	2429	483
834	2431	480
835	2433	477
836	2435	474
837	2438	471
838	2441	468
839	2443	465
840	2446	462
841	2448	459
842	2450	456
843	2453	453
844	2456	450
845	2458	447
846	2461	444
847	2463	441
848	2465	438
849	2471	436
850	2473	433
851	2475	430
852	2478	427
853	2480	424
854	2485	421
855	2488	418
856	2490	415
857	2492	412
858	2494	409
859	2499	406
860	2501	403
861	2504	400
862	2506	397
863	2509	395
864	2514	392
865	2516	389
866	2518	386
867	2523	383
868	2525	380
869	2530	378
870	2532	375
871	2535	372
872	2537	369
873	2544	366
874	2546	363
875	2549	360
876	2551	357
877	2553	354
878	2559	352
879	2561	349
880	2564	346
881	2566	343
882	2568	340
883	2573	337
884	2575	334
885	2578	331
886	2581	328
887	2583	325
888	2590	323
889	2595	320
890	2598	317
891	2604	315
892	2608	312
893	2611	309
894	2613	306
895	2619	304
896	2622	301
897	2624	298
898	2627	295
899	2631	292
900	2634	289
901	2636	286
902	2638	283
903	2641	280
904	2643	277
905	2649	274
906	2651	271
907	2654	268
908	2656	265
909	2661	263
910	2663	260
911	2666	257
912	2668	254
913	2671	251
914	2673	248
915	2678	245
916	2683	242
917	2685	239
918	2687	236
919	2692	234
920	2694	231
921	2697	228
922	2701	225
923	2704	222
924	2706	219
925	2709	216
926	2711	213
927	2713	210
928	2715	207
929	2720	204
930	2722	201
931	2724	198
932	2726	195
933	2728	192
934	2730	189
935	2735	187
936	2738	184
937	2740	181
938	2742	178
939	2744	175
940	2748	172
941	2752	169
942	2754	166
943	2756	163
944	2758	160
945	2760	157
946	2766	154
947	2769	151
948	2771	148
949	2773	145
950	2775	143
951	2781	140
952	2783	137
953	2795	134
954	2797	131
955	2800	128
956	2802	125
957	2805	122
958	2810	120
959	2813	117
960	2816	114
961	2818	111
962	2823	108
963	2825	105
964	2828	102
965	2831	99
966	2834	96
967	2838	93
968	2841	90
969	2843	87
970	2845	84
971	2848	82
972	2850	79
973	2853	76
974	2855	73
975	2857	70
976	2860	67
977	2862	64
978	2864	61
979	2871	58
980	2874	55
981	2877	52
982	2879	49
983	2885	46
984	2887	43
985	2889	41
986	2891	38
987	2894	35
988	2899	32
989	2902	29
990	2905	26
991	2907	23
992	2909	20
993	2912	17
994	2914	14
995	2916	11
996	2918	8
997	2924	5
998	2927	2
999	2929	0
